Subject,Ethnicity,AFQT '90
2,3,9
3,3,46
4,3,48
5,3,99
6,3,99
7,3,35
8,3,42
9,3,51
10,3,21
11,3,81
12,3,89
13,3,85
14,3,92
15,3,69
16,3,57
17,3,88
18,3,98
20,3,63
21,3,94
22,3,84
23,3,91
24,3,61
25,3,57
26,3,96
27,3,97
28,3,93
29,3,13
30,3,9
34,3,13
35,3,44
37,3,59
38,3,13
39,3,29
40,3,38
41,3,54
42,3,16
43,3,13
44,3,37
45,3,49
46,3,63
47,3,77
48,3,32
49,3,66
50,3,79
52,3,86
53,1,41
56,3,56
57,3,38
58,3,87
59,3,97
60,3,75
61,3,99
62,3,31
63,3,91
64,3,88
65,3,71
66,3,18
67,3,99
68,3,99
69,3,78
71,3,99
72,3,84
73,3,71
74,3,93
75,3,68
76,3,31
77,3,84
78,3,88
79,3,96
80,3,70
81,3,21
82,2,2
83,2,4
84,2,12
85,2,1
86,2,3
87,2,3
88,2,92
89,2,80
90,3,89
91,3,15
92,3,37
93,3,18
95,3,26
96,3,32
97,3,65
98,3,71
100,3,29
101,3,93
102,3,50
103,3,84
104,3,50
105,3,85
106,3,94
107,3,58
108,3,93
109,3,50
110,3,75
111,3,42
112,3,32
113,3,59
114,3,73
115,3,80
116,3,55
117,3,97
118,3,30
119,3,35
120,3,97
121,3,84
122,3,56
123,3,89
124,3,36
125,3,33
126,3,71
127,3,39
128,3,71
129,3,92
133,3,44
134,3,50
135,3,29
136,3,10
137,3,87
138,3,80
139,3,64
140,3,74
141,3,81
143,3,63
144,3,29
145,3,52
146,3,84
147,3,25
148,3,65
149,3,29
150,3,41
151,3,33
152,3,92
155,3,35
156,3,6
157,3,47
158,3,85
159,3,93
160,3,80
161,3,31
162,3,98
163,3,77
164,3,21
165,3,43
166,3,57
167,3,28
168,2,21
169,2,17
171,3,80
172,3,1
173,3,56
174,1,57
176,3,85
177,3,48
178,3,82
179,3,42
180,3,84
183,3,57
184,3,62
185,3,48
186,3,78
187,3,42
188,3,18
189,3,65
190,3,73
191,3,73
192,3,72
193,3,65
194,3,53
195,3,90
196,3,91
197,3,15
198,3,63
199,3,24
200,3,24
201,3,95
202,3,75
203,1,18
204,1,22
205,1,4
206,3,18
207,3,14
208,3,18
209,3,66
210,3,53
211,3,64
212,3,64
213,3,99
214,3,54
215,3,56
218,3,93
219,3,63
220,3,89
221,2,2
222,2,1
223,2,3
224,2,15
225,1,2
226,1,16
227,2,7
228,1,2
229,3,38
230,3,29
231,3,42
232,3,55
233,3,19
234,3,27
235,3,62
236,3,63
237,3,67
239,3,10
240,3,46
241,3,17
242,3,35
243,3,74
244,3,79
245,3,85
246,3,80
247,3,69
248,3,13
249,3,39
253,3,22
254,3,94
255,3,42
256,3,51
257,3,40
258,3,81
259,3,69
260,3,88
261,3,70
262,3,45
263,3,41
264,3,87
265,3,95
267,3,25
268,3,54
269,3,87
270,3,72
271,3,39
272,3,89
273,3,70
274,3,84
275,3,62
276,3,44
277,3,33
278,3,44
279,3,51
280,3,89
281,3,81
282,3,79
283,1,22
284,1,44
285,1,13
286,1,51
287,3,31
288,3,14
289,3,23
290,1,8
291,2,48
292,3,89
293,3,94
294,3,53
295,3,23
296,3,15
297,3,69
298,1,8
299,1,11
300,1,2
301,1,22
302,1,6
303,1,5
304,1,3
305,1,31
306,2,24
307,3,53
308,3,12
309,3,25
310,3,18
311,3,15
312,3,49
313,3,27
315,3,4
316,3,12
317,3,84
318,3,13
319,3,66
320,3,73
321,3,81
322,3,34
323,3,68
324,3,7
325,3,61
327,3,92
329,1,8
330,1,14
331,1,2
332,1,27
333,2,42
334,2,27
335,2,64
336,2,23
337,2,1
338,2,20
339,2,11
340,2,14
341,3,54
342,3,96
343,2,1
344,3,95
345,2,51
346,3,37
347,3,62
348,3,56
349,3,40
350,3,46
351,3,24
352,3,45
353,3,53
354,3,71
355,3,42
356,3,43
357,3,59
358,3,32
359,3,32
360,3,87
361,3,77
362,3,25
363,3,31
364,3,88
365,3,58
366,3,56
367,3,80
368,2,75
369,3,94
370,3,92
371,3,59
372,3,90
373,3,19
374,3,16
375,3,10
376,3,76
377,2,35
378,2,26
379,2,4
380,2,10
381,2,58
382,2,7
383,2,32
384,2,27
385,2,35
386,2,52
387,2,1
388,2,71
390,2,7
391,2,20
392,3,90
393,3,80
394,2,5
395,2,37
396,2,12
397,2,3
398,2,28
399,3,76
400,3,99
401,3,24
402,3,29
403,3,6
404,3,9
405,3,22
406,3,33
407,3,40
408,3,79
409,3,92
410,3,64
411,3,17
412,3,56
413,3,23
414,3,64
415,3,12
416,3,68
417,3,56
418,3,45
419,3,51
420,3,56
421,3,99
422,3,99
424,3,89
425,3,44
426,1,36
428,3,78
429,3,92
431,3,71
432,3,4
433,3,4
434,3,49
435,3,23
436,3,58
437,3,64
438,3,80
439,3,78
440,3,53
441,3,5
442,3,56
443,3,96
444,3,72
445,3,77
446,3,29
447,3,18
448,3,5
449,3,50
450,3,25
451,3,19
452,3,46
453,3,70
454,3,78
455,3,98
456,3,64
457,3,80
458,3,82
459,3,87
460,3,35
461,3,89
462,3,96
463,3,78
464,3,81
465,3,86
467,3,95
468,3,93
469,1,21
470,3,6
471,3,32
472,3,31
474,3,30
475,3,13
477,3,17
478,3,42
479,3,56
480,3,57
481,3,99
482,3,88
483,3,58
484,3,15
485,3,14
486,3,35
487,3,53
488,3,48
489,3,70
490,3,27
491,3,11
492,3,53
493,3,65
494,3,81
495,3,64
496,3,87
497,3,25
499,3,40
500,3,57
501,3,67
502,3,70
503,3,45
504,3,13
505,3,28
506,3,42
507,3,65
508,3,21
509,3,80
510,3,77
511,3,85
512,3,46
513,2,46
514,2,7
515,3,13
516,2,7
517,2,8
518,2,7
519,2,2
520,2,29
521,2,44
522,2,10
523,2,16
524,2,51
526,3,16
527,3,64
528,3,22
530,3,8
531,3,12
532,3,13
533,3,47
534,3,4
535,3,23
536,3,4
537,3,4
538,3,23
539,3,81
540,3,13
541,3,16
543,3,25
544,3,23
545,3,57
546,3,22
547,3,46
548,3,63
549,3,43
550,3,82
552,3,97
553,3,99
554,3,80
556,3,93
557,3,99
558,3,80
559,3,95
560,3,57
561,3,75
562,3,62
563,3,42
564,3,45
565,3,36
566,3,22
567,3,51
568,3,46
569,3,85
570,3,97
571,3,58
573,3,66
574,3,29
575,3,99
576,3,89
577,3,97
578,3,98
579,3,61
580,3,46
581,3,92
582,3,88
583,3,84
584,3,33
585,3,23
586,3,25
588,3,2
589,3,-3
590,3,-3
591,1,88
593,1,30
