Subject,Ethnicity,AFQT '90
2,3,9.0
3,3,46.0
4,3,48.0
5,3,99.0
6,3,99.0
7,3,35.0
8,3,42.0
9,3,51.0
10,3,21.0
11,3,81.0
12,3,89.0
13,3,85.0
14,3,92.0
15,3,69.0
16,3,57.0
17,3,88.0
18,3,98.0
20,3,63.0
21,3,94.0
22,3,84.0
23,3,91.0
24,3,61.0
25,3,57.0
26,3,96.0
27,3,97.0
28,3,93.0
29,3,13.0
30,3,9.0
34,3,13.0
35,3,44.0
37,3,59.0
38,3,13.0
39,3,29.0
40,3,38.0
41,3,54.0
42,3,16.0
43,3,13.0
44,3,37.0
45,3,49.0
46,3,63.0
47,3,77.0
48,3,32.0
49,3,66.0
50,3,79.0
52,3,86.0
53,1,41.0
56,3,56.0
57,3,38.0
58,3,87.0
59,3,97.0
60,3,75.0
61,3,99.0
62,3,31.0
63,3,91.0
64,3,88.0
65,3,71.0
66,3,18.0
67,3,99.0
68,3,99.0
69,3,78.0
71,3,99.0
72,3,84.0
73,3,71.0
74,3,93.0
75,3,68.0
76,3,31.0
77,3,84.0
78,3,88.0
79,3,96.0
80,3,70.0
81,3,21.0
82,2,2.0
83,2,4.0
84,2,12.0
85,2,1.0
86,2,3.0
87,2,3.0
88,2,92.0
89,2,80.0
90,3,89.0
91,3,15.0
92,3,37.0
93,3,18.0
95,3,26.0
96,3,32.0
97,3,65.0
98,3,71.0
100,3,29.0
101,3,93.0
102,3,50.0
103,3,84.0
104,3,50.0
105,3,85.0
106,3,94.0
107,3,58.0
108,3,93.0
109,3,50.0
110,3,75.0
111,3,42.0
112,3,32.0
113,3,59.0
114,3,73.0
115,3,80.0
116,3,55.0
117,3,97.0
118,3,30.0
119,3,35.0
120,3,97.0
121,3,84.0
122,3,56.0
123,3,89.0
124,3,36.0
125,3,33.0
126,3,71.0
127,3,39.0
128,3,71.0
129,3,92.0
133,3,44.0
134,3,50.0
135,3,29.0
136,3,10.0
137,3,87.0
138,3,80.0
139,3,64.0
140,3,74.0
141,3,81.0
143,3,63.0
144,3,29.0
145,3,52.0
146,3,84.0
147,3,25.0
148,3,65.0
149,3,29.0
150,3,41.0
151,3,33.0
152,3,92.0
155,3,35.0
156,3,6.0
157,3,47.0
158,3,85.0
159,3,93.0
160,3,80.0
161,3,31.0
162,3,98.0
163,3,77.0
164,3,21.0
165,3,43.0
166,3,57.0
167,3,28.0
168,2,21.0
169,2,17.0
171,3,80.0
172,3,1.0
173,3,56.0
174,1,57.0
176,3,85.0
177,3,48.0
178,3,82.0
179,3,42.0
180,3,84.0
183,3,57.0
184,3,62.0
185,3,48.0
186,3,78.0
187,3,42.0
188,3,18.0
189,3,65.0
190,3,73.0
191,3,73.0
192,3,72.0
193,3,65.0
194,3,53.0
195,3,90.0
196,3,91.0
197,3,15.0
198,3,63.0
199,3,24.0
200,3,24.0
201,3,95.0
202,3,75.0
203,1,18.0
204,1,22.0
205,1,4.0
206,3,18.0
207,3,14.0
208,3,18.0
209,3,66.0
210,3,53.0
211,3,64.0
212,3,64.0
213,3,99.0
214,3,54.0
215,3,56.0
218,3,93.0
219,3,63.0
220,3,89.0
221,2,2.0
222,2,1.0
223,2,3.0
224,2,15.0
225,1,2.0
226,1,16.0
227,2,7.0
228,1,2.0
229,3,38.0
230,3,29.0
231,3,42.0
232,3,55.0
233,3,19.0
234,3,27.0
235,3,62.0
236,3,63.0
237,3,67.0
239,3,10.0
240,3,46.0
241,3,17.0
242,3,35.0
243,3,74.0
244,3,79.0
245,3,85.0
246,3,80.0
247,3,69.0
