"R0000100","R0214700","R0214800","R0618200","R0618300","R0618301"
1,3,2,-4,-4,-4
2,3,2,12,9,6841
3,3,2,51,46,49444
4,3,2,62,48,55761
5,3,1,90,99,96772
6,3,1,99,99,99393
7,3,1,33,35,47412
8,3,2,43,42,44022
9,3,1,55,51,59683
10,3,2,27,21,30039
11,3,1,71,81,85347
12,3,2,94,89,89641
13,3,1,78,85,72313
14,3,2,88,92,98798
15,3,1,83,69,82260
16,3,2,63,57,50283
17,3,1,84,88,89669
18,3,1,99,98,95977
19,3,2,-4,-4,-4
20,3,2,54,63,67021
21,3,2,94,94,88416
22,3,2,84,84,89167
23,3,1,94,91,83214
24,3,1,66,61,66029
25,3,2,60,57,51390
26,3,1,96,96,97075
27,3,2,85,97,96674
28,3,2,93,93,92784
29,3,2,18,13,25905
30,3,2,14,9,8528
31,1,1,-4,-4,-4
32,1,2,-4,-4,-4
33,1,1,-4,-4,-5
34,3,1,15,13,6069
35,3,2,45,44,53046
36,3,1,-4,-4,-4
37,3,2,60,59,56290
38,3,2,17,13,12788
39,3,1,35,29,26851
40,3,1,38,38,38419
41,3,1,45,54,57095
42,3,1,20,16,22326
43,3,2,9,13,15325
44,3,2,42,37,37061
45,3,1,43,49,50629
46,3,2,58,63,78095
47,3,1,78,77,75473
48,3,1,36,32,24806
49,3,2,81,66,71226
50,3,2,87,79,78742
51,3,1,-4,-4,-5
52,3,1,89,86,69080
53,1,1,38,41,43641
54,3,1,-4,-4,-4
55,3,1,-4,-4,-5
56,3,2,44,56,76020
57,3,2,38,38,30830
58,3,2,96,87,91625
59,3,1,96,97,98841
60,3,1,68,75,82980
61,3,2,99,99,99150
62,3,2,30,31,36384
63,3,1,95,91,87934
64,3,1,79,88,92989
65,3,2,72,71,75171
66,3,1,14,18,22649
67,3,1,99,99,93246
68,3,2,99,99,100000
69,3,1,72,78,86703
70,3,1,-4,-4,-4
71,3,1,99,99,98077
72,3,2,91,84,80538
73,3,1,64,71,81527
74,3,2,88,93,95536
75,3,2,65,68,83379
76,3,1,27,31,42780
77,3,2,60,84,96835
78,3,2,78,88,85347
79,3,1,97,96,96084
80,3,1,60,70,78759
81,3,1,21,21,29497
82,2,1,1,2,2168
