"R0000100","R0017316","R0214700","R0214800","R0214900","R0217502","R0618200","R0618300","R0618301","R1410701","R2257410","R3400600","R3401000","R4982801","R5165900","R7006400","R8316300","T0912400","T0987600","T0988100","T3045300","T3977400","T4112200"
1,-4,3,2,1,5,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,-4,3,2,1,5,12,9,6841,11500,5,1,1,-3,5,5,0,5500,4,1,6000,19000,3
3,-4,3,2,1,5,51,46,49444,-3,4,5,6,-3,5,3,-5,0,2,1,-5,35000,2
4,-4,3,2,3,5,62,48,55761,-3,2,2,6,-5,3,-5,-5,-5,-5,-5,-5,-5,-5
5,-4,3,1,1,4,90,99,96772,10500,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,-4,3,1,5,4,99,99,99393,6000,1,2,1,32500,4,5,56500,65000,5,1,90300,105000,5
7,-4,3,1,5,3,33,35,47412,-3,1,3,8,27000,4,3,30000,19000,3,1,0,-5,-5
8,-4,3,2,1,3,43,42,44022,10000,5,4,1,20500,3,5,34000,36000,1,1,41999,40000,3
9,-4,3,1,1,6,55,51,59683,7000,2,2,1,20000,4,4,55000,65000,4,1,52000,75000,3
10,-4,3,2,3,3,27,21,30039,3000,-5,7,1,15000,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,-4,3,1,1,3,71,81,85347,17000,-5,1,1,101653,1,1,-2,-5,-5,-5,-5,-5,-5
12,-4,3,2,5,3,94,89,89641,21000,-5,-5,-5,42600,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,-4,3,1,1,5,78,85,72313,17000,1,3,1,41000,6,2,38000,8000,1,1,-5,-5,-5
14,-4,3,2,1,5,88,92,98798,3100,4,3,1,29000,2,1,89000,116000,1,1,95000,102000,1
15,109,3,1,5,4,83,69,82260,1300,4,4,3,30000,2,4,0,0,6,7,0,0,6
16,-4,3,2,1,4,63,57,50283,16000,1,3,1,28000,4,5,65000,71000,5,1,64000,70000,4
17,-4,3,1,1,2,84,88,89669,18000,2,2,1,16073,2,2,62000,43000,2,1,50000,60000,1
18,-4,3,1,1,1,99,98,95977,25000,4,5,1,101653,5,4,80000,120000,1,1,60000,150000,1
19,-4,3,2,1,2,-4,-4,-4,-3,3,2,4,-3,-5,-5,-5,0,2,6,0,-5,-5
20,-4,3,2,1,5,54,63,67021,21000,1,3,2,40800,3,3,74000,64000,3,1,-5,115000,3
21,-4,3,2,1,5,94,94,88416,7900,4,1,1,50500,2,3,100000,279816,3,1,312324,343830,2
22,-4,3,2,1,4,84,84,89167,4300,3,2,2,17700,2,2,10000,45300,2,1,40000,40000,1
23,-4,3,1,1,5,94,91,83214,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,105,3,1,3,5,66,61,66029,-5,2,4,1,35000,4,-5,-5,-5,-5,-5,-5,-5,-5
25,112,3,2,5,3,60,57,51390,11000,1,2,1,12000,4,4,20000,23000,4,1,32760,35000,4
26,-4,3,1,1,4,96,96,97075,7000,1,2,8,-5,-5,-5,-5,-5,-5,-5,95000,105000,5
27,137,3,2,2,4,85,97,96674,13950,2,3,4,-3,4,4,0,0,4,7,16000,16036,3
28,-4,3,2,5,4,93,93,92784,8600,2,1,1,20000,1,1,-5,-5,-5,-5,0,-5,-5
29,-4,3,2,1,4,18,13,25905,14249,3,3,1,-2,3,1,62000,85000,2,1,30000,5200,2
30,-4,3,2,1,4,14,9,8528,2480,4,4,4,-3,5,5,36000,63797,5,7,0,0,5
31,-4,1,1,5,4,-4,-4,-4,-3,2,3,1,31000,-5,3,36000,40000,4,1,0,42000,3
32,-4,1,2,1,5,-4,-4,-4,10000,1,-5,-5,30000,1,-5,-1,35000,1,1,75000,-5,-5
33,-4,1,1,5,4,-4,-4,-5,-5,-5,-5,-5,-1,2,-5,-5,0,1,7,0,0,1
34,-4,3,1,1,4,15,13,6069,36574,1,3,1,42000,5,6,30000,279816,6,1,30000,53000,1
35,-4,3,2,5,4,45,44,53046,-3,3,3,1,27000,4,-5,-5,-5,-5,-5,-5,-5,-5
