Subject,IQ79,Ethnicity,Gender,Employment79,FamilySize79,AFQT '80,AFQT '89,AFQT '06,Income84,FamilySize86,FamilySize90,Employment90,Income94,FamilySize96,FamilySize00,Income04,Income06,FamilySize06,Employment06,Income10,Income12,FamilySize12
1,,3,2,1,5,,,,-5,-5,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
2,,3,2,1,5,12.0,9.0,6841.0,11500,5,1,1,-3.0,5,5,0.0,5500.0,4,1,6000.0,19000.0,3
3,,3,2,1,5,51.0,46.0,49444.0,-3,4,5,6,-3.0,5,3,-5.0,0.0,2,1,-5.0,35000.0,2
4,,3,2,3,5,62.0,48.0,55761.0,-3,2,2,6,-5.0,3,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
5,,3,1,1,4,90.0,99.0,96772.0,10500,2,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
6,,3,1,5,4,99.0,99.0,99393.0,6000,1,2,1,32500.0,4,5,56500.0,65000.0,5,1,90300.0,105000.0,5
7,,3,1,5,3,33.0,35.0,47412.0,-3,1,3,8,27000.0,4,3,30000.0,19000.0,3,1,0.0,-5.0,-5
8,,3,2,1,3,43.0,42.0,44022.0,10000,5,4,1,20500.0,3,5,34000.0,36000.0,1,1,41999.0,40000.0,3
9,,3,1,1,6,55.0,51.0,59683.0,7000,2,2,1,20000.0,4,4,55000.0,65000.0,4,1,52000.0,75000.0,3
10,,3,2,3,3,27.0,21.0,30039.0,3000,-5,7,1,15000.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
11,,3,1,1,3,71.0,81.0,85347.0,17000,-5,1,1,101653.0,1,1,-2.0,-5.0,-5,-5,-5.0,-5.0,-5
12,,3,2,5,3,94.0,89.0,89641.0,21000,-5,-5,-5,42600.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
13,,3,1,1,5,78.0,85.0,72313.0,17000,1,3,1,41000.0,6,2,38000.0,8000.0,1,1,-5.0,-5.0,-5
14,,3,2,1,5,88.0,92.0,98798.0,3100,4,3,1,29000.0,2,1,89000.0,116000.0,1,1,95000.0,102000.0,1
15,109.0,3,1,5,4,83.0,69.0,82260.0,1300,4,4,3,30000.0,2,4,0.0,0.0,6,7,0.0,0.0,6
16,,3,2,1,4,63.0,57.0,50283.0,16000,1,3,1,28000.0,4,5,65000.0,71000.0,5,1,64000.0,70000.0,4
17,,3,1,1,2,84.0,88.0,89669.0,18000,2,2,1,16073.0,2,2,62000.0,43000.0,2,1,50000.0,60000.0,1
18,,3,1,1,1,99.0,98.0,95977.0,25000,4,5,1,101653.0,5,4,80000.0,120000.0,1,1,60000.0,150000.0,1
19,,3,2,1,2,,,,-3,3,2,4,-3.0,-5,-5,-5.0,0.0,2,6,0.0,-5.0,-5
20,,3,2,1,5,54.0,63.0,67021.0,21000,1,3,2,40800.0,3,3,74000.0,64000.0,3,1,-5.0,115000.0,3
21,,3,2,1,5,94.0,94.0,88416.0,7900,4,1,1,50500.0,2,3,100000.0,279816.0,3,1,312324.0,343830.0,2
22,,3,2,1,4,84.0,84.0,89167.0,4300,3,2,2,17700.0,2,2,10000.0,45300.0,2,1,40000.0,40000.0,1
23,,3,1,1,5,94.0,91.0,83214.0,-5,-5,-5,-5,-5.0,-5,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
24,105.0,3,1,3,5,66.0,61.0,66029.0,-5,2,4,1,35000.0,4,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
25,112.0,3,2,5,3,60.0,57.0,51390.0,11000,1,2,1,12000.0,4,4,20000.0,23000.0,4,1,32760.0,35000.0,4
26,,3,1,1,4,96.0,96.0,97075.0,7000,1,2,8,-5.0,-5,-5,-5.0,-5.0,-5,-5,95000.0,105000.0,5
27,137.0,3,2,2,4,85.0,97.0,96674.0,13950,2,3,4,-3.0,4,4,0.0,0.0,4,7,16000.0,16036.0,3
28,,3,2,5,4,93.0,93.0,92784.0,8600,2,1,1,20000.0,1,1,-5.0,-5.0,-5,-5,0.0,-5.0,-5
29,,3,2,1,4,18.0,13.0,25905.0,14249,3,3,1,-2.0,3,1,62000.0,85000.0,2,1,30000.0,5200.0,2
30,,3,2,1,4,14.0,9.0,8528.0,2480,4,4,4,-3.0,5,5,36000.0,63797.0,5,7,0.0,0.0,5
31,,1,1,5,4,,,,-3,2,3,1,31000.0,-5,3,36000.0,40000.0,4,1,0.0,42000.0,3
32,,1,2,1,5,,,,10000,1,-5,-5,30000.0,1,-5,-1.0,35000.0,1,1,75000.0,-5.0,-5
33,,1,1,5,4,,,-5.0,-5,-5,-5,-5,-1.0,2,-5,-5.0,0.0,1,7,0.0,0.0,1
34,,3,1,1,4,15.0,13.0,6069.0,36574,1,3,1,42000.0,5,6,30000.0,279816.0,6,1,30000.0,53000.0,1
35,,3,2,5,4,45.0,44.0,53046.0,-3,3,3,1,27000.0,4,-5,-5.0,-5.0,-5,-5,-5.0,-5.0,-5
36,,3,1,1,5,,,,13357,-5,1,1,27300.0,4,2,115000.0,0.0,2,1,0.0,38500.0,2
37,114.0,3,2,1,4,60.0,59.0,56290.0,13200,3,4,4,-3.0,3,3,34000.0,37000.0,3,1,44000.0,44000.0,3
38,90.0,3,2,5,4,17.0,13.0,12788.0,11000,3,2,1,33490.0,2,2,61158.0,70000.0,2,1,97500.0,93000.0,2
39,94.0,3,1,1,4,35.0,29.0,26851.0,17000,1,1,1,48000.0,2,3,-2.0,67000.0,3,1,60000.0,62000.0,3
40,91.0,3,1,1,3,38.0,38.0,38419.0,15000,1,2,1,30000.0,2,2,700.0,0.0,3,8,40000.0,45000.0,4
41,98.0,3,1,5,3,45.0,54.0,57095.0,14000,3,2,1,60000.0,2,2,73000.0,120000.0,4,1,130000.0,130000.0,4
42,101.0,3,1,5,4,20.0,16.0,22326.0,6000,3,3,1,32000.0,6,5,48000.0,45000.0,5,1,48000.0,45000.0,6
43,87.0,3,2,1,5,9.0,13.0,15325.0,440,5,3,1,-3.0,3,5,0.0,0.0,4,7,0.0,0.0,4
